event_hour,site_id,site_name,event_count,alert_count,avg_temperature_c,avg_battery_pct
2026-05-02 14:00:00,S001,Facility 1,9,1,25.033333333333335,38.5375
2026-05-02 14:00:00,S002,Facility 2,6,0,24.55,61.58
2026-05-02 14:00:00,S003,Facility 3,8,0,18.35,50.128571428571426
2026-05-02 14:00:00,S004,Facility 4,6,0,20.283333333333335,54.52
2026-05-02 14:00:00,S005,Facility 5,4,0,22.4,56.666666666666664
2026-05-02 14:00:00,S006,Facility 6,1,1,20.8,70.1
2026-05-02 14:00:00,S007,Facility 7,3,0,22.53333333333333,47.05
2026-05-02 14:00:00,S008,Facility 8,6,2,20.75,62.550000000000004
2026-05-02 14:00:00,S009,Facility 9,5,0,19.3,56.8
2026-05-02 14:00:00,S010,Facility 10,3,0,22.5,66.7
2026-05-02 14:00:00,S011,Facility 11,4,0,21.4,32.45
2026-05-02 14:00:00,S012,Facility 12,5,0,18.68,71.68
2026-05-02 14:00:00,S013,Facility 13,2,1,15.35,36.45
2026-05-02 14:00:00,S014,Facility 14,1,1,21.5,85.8
2026-05-02 15:00:00,S001,Facility 1,9,1,19.866666666666667,58.27777777777778
2026-05-02 15:00:00,S002,Facility 2,6,0,21.916666666666668,38.916666666666664
2026-05-02 15:00:00,S003,Facility 3,8,1,22.8125,49.925000000000004
2026-05-02 15:00:00,S004,Facility 4,3,0,22.7,54.0
2026-05-02 15:00:00,S005,Facility 5,3,0,20.533333333333335,37.266666666666666
2026-05-02 15:00:00,S006,Facility 6,3,1,17.900000000000002,28.1
2026-05-02 15:00:00,S007,Facility 7,3,1,19.133333333333333,26.666666666666668
2026-05-02 15:00:00,S008,Facility 8,8,0,22.375,40.528571428571425
2026-05-02 15:00:00,S009,Facility 9,9,2,21.41111111111111,63.25555555555555
2026-05-02 15:00:00,S010,Facility 10,6,0,23.0,60.48333333333333
2026-05-02 15:00:00,S011,Facility 11,4,1,24.175,30.3
2026-05-02 15:00:00,S012,Facility 12,8,2,22.7875,51.51666666666667
2026-05-02 15:00:00,S013,Facility 13,8,1,21.5125,43.375
2026-05-02 15:00:00,S014,Facility 14,8,2,23.425,44.375
2026-05-02 16:00:00,S001,Facility 1,12,3,22.5,35.93636363636364
2026-05-02 16:00:00,S002,Facility 2,1,0,19.8,35.4
2026-05-02 16:00:00,S003,Facility 3,4,2,24.3,57.05
2026-05-02 16:00:00,S004,Facility 4,5,0,20.14,64.28
2026-05-02 16:00:00,S005,Facility 5,5,1,22.740000000000002,65.1
2026-05-02 16:00:00,S006,Facility 6,1,1,26.6,67.3
2026-05-02 16:00:00,S007,Facility 7,4,1,14.075,56.9
2026-05-02 16:00:00,S008,Facility 8,6,1,22.95,48.75
2026-05-02 16:00:00,S009,Facility 9,10,1,21.07,41.388888888888886
2026-05-02 16:00:00,S010,Facility 10,6,0,24.066666666666666,55.1
2026-05-02 16:00:00,S011,Facility 11,12,1,21.641666666666666,44.35454545454545
2026-05-02 16:00:00,S012,Facility 12,6,1,25.349999999999998,29.32
2026-05-02 16:00:00,S013,Facility 13,6,0,21.616666666666664,50.85
2026-05-02 16:00:00,S014,Facility 14,2,0,23.65,51.65
2026-05-02 17:00:00,S001,Facility 1,13,1,20.023076923076925,49.79230769230769
2026-05-02 17:00:00,S002,Facility 2,7,2,22.7,45.05714285714286
2026-05-02 17:00:00,S003,Facility 3,7,1,21.7,36.885714285714286
2026-05-02 17:00:00,S004,Facility 4,11,1,20.227272727272727,46.11818181818182
2026-05-02 17:00:00,S005,Facility 5,4,2,22.05,63.03333333333333
2026-05-02 17:00:00,S006,Facility 6,4,1,14.975,24.75
2026-05-02 17:00:00,S007,Facility 7,4,1,19.8,34.85
2026-05-02 17:00:00,S008,Facility 8,6,0,21.033333333333335,54.46666666666667
2026-05-02 17:00:00,S009,Facility 9,4,0,25.075,33.175
2026-05-02 17:00:00,S010,Facility 10,8,0,24.675,39.75714285714286
2026-05-02 17:00:00,S011,Facility 11,9,3,21.066666666666666,37.5
2026-05-02 17:00:00,S012,Facility 12,4,0,19.725,50.93333333333334
2026-05-02 17:00:00,S013,Facility 13,9,2,19.6,48.542857142857144
2026-05-02 17:00:00,S014,Facility 14,6,1,22.650000000000002,43.699999999999996
2026-05-02 18:00:00,S001,Facility 1,5,1,18.759999999999998,40.45
2026-05-02 18:00:00,S002,Facility 2,4,0,21.325000000000003,34.075
2026-05-02 18:00:00,S003,Facility 3,15,4,19.5,55.3
2026-05-02 18:00:00,S004,Facility 4,8,2,21.1375,46.3625
2026-05-02 18:00:00,S005,Facility 5,1,0,21.0,
2026-05-02 18:00:00,S006,Facility 6,4,0,19.65,65.45
2026-05-02 18:00:00,S007,Facility 7,10,1,20.91,62.89
2026-05-02 18:00:00,S008,Facility 8,5,0,22.6,60.58
2026-05-02 18:00:00,S009,Facility 9,6,0,22.983333333333334,52.65
2026-05-02 18:00:00,S010,Facility 10,10,2,20.56,43.233333333333334
2026-05-02 18:00:00,S011,Facility 11,11,2,22.89090909090909,51.56
2026-05-02 18:00:00,S012,Facility 12,10,1,20.330000000000002,32.739999999999995
2026-05-02 18:00:00,S013,Facility 13,6,0,18.099999999999998,67.78333333333333
2026-05-02 18:00:00,S014,Facility 14,4,1,15.125,25.924999999999997
2026-05-02 19:00:00,S001,Facility 1,7,0,19.814285714285713,44.68
2026-05-02 19:00:00,S002,Facility 2,2,0,20.3,27.6
2026-05-02 19:00:00,S003,Facility 3,8,1,16.9625,54.575
2026-05-02 19:00:00,S004,Facility 4,4,1,16.975,61.666666666666664
2026-05-02 19:00:00,S005,Facility 5,5,0,20.580000000000002,42.86
2026-05-02 19:00:00,S006,Facility 6,7,2,23.357142857142858,73.34285714285714
2026-05-02 19:00:00,S007,Facility 7,5,1,23.82,34.019999999999996
2026-05-02 19:00:00,S008,Facility 8,5,1,24.34,51.82000000000001
2026-05-02 19:00:00,S009,Facility 9,14,3,19.407142857142855,41.666666666666664
2026-05-02 19:00:00,S010,Facility 10,8,2,18.7875,51.300000000000004
2026-05-02 19:00:00,S011,Facility 11,8,2,23.3875,54.925
2026-05-02 19:00:00,S012,Facility 12,6,1,18.8,54.333333333333336
2026-05-02 19:00:00,S013,Facility 13,9,1,21.01111111111111,34.8375
2026-05-02 19:00:00,S014,Facility 14,9,2,19.977777777777778,33.144444444444446
2026-05-02 20:00:00,S001,Facility 1,13,1,19.838461538461537,64.55
2026-05-02 20:00:00,S002,Facility 2,3,0,20.933333333333334,58.0
2026-05-02 20:00:00,S003,Facility 3,12,1,22.75,50.98181818181818
2026-05-02 20:00:00,S004,Facility 4,8,2,19.7125,28.950000000000003
2026-05-02 20:00:00,S005,Facility 5,3,0,13.933333333333332,68.10000000000001
2026-05-02 20:00:00,S006,Facility 6,1,0,17.0,69.2
2026-05-02 20:00:00,S007,Facility 7,6,0,22.083333333333332,76.05
2026-05-02 20:00:00,S008,Facility 8,6,3,19.333333333333332,81.46666666666667
2026-05-02 20:00:00,S009,Facility 9,8,1,20.4625,37.916666666666664
2026-05-02 20:00:00,S010,Facility 10,4,0,24.55,47.85
2026-05-02 20:00:00,S011,Facility 11,9,1,20.755555555555556,56.05555555555556
2026-05-02 20:00:00,S012,Facility 12,7,1,19.342857142857145,62.01428571428572
2026-05-02 20:00:00,S013,Facility 13,3,0,23.03333333333333,27.933333333333337
2026-05-02 20:00:00,S014,Facility 14,5,1,21.34,25.4
2026-05-02 21:00:00,S001,Facility 1,12,1,20.316666666666666,53.16363636363636
2026-05-02 21:00:00,S002,Facility 2,5,0,18.02,53.279999999999994
2026-05-02 21:00:00,S003,Facility 3,10,0,18.23,44.42
2026-05-02 21:00:00,S004,Facility 4,4,1,20.275,49.85
2026-05-02 21:00:00,S005,Facility 5,8,1,21.2875,53.300000000000004
2026-05-02 21:00:00,S006,Facility 6,1,0,21.2,69.2
2026-05-02 21:00:00,S007,Facility 7,3,0,19.266666666666666,48.4
2026-05-02 21:00:00,S008,Facility 8,11,1,17.472727272727273,36.08
2026-05-02 21:00:00,S009,Facility 9,8,0,21.0875,53.11666666666667
2026-05-02 21:00:00,S010,Facility 10,6,0,20.616666666666667,43.56666666666666
2026-05-02 21:00:00,S011,Facility 11,8,1,22.6,37.128571428571426
2026-05-02 21:00:00,S012,Facility 12,7,0,24.17142857142857,29.566666666666666
2026-05-02 21:00:00,S013,Facility 13,4,1,22.425,70.55
2026-05-02 21:00:00,S014,Facility 14,10,2,23.02,52.67
2026-05-02 22:00:00,S001,Facility 1,10,1,20.48,54.03333333333333
2026-05-02 22:00:00,S002,Facility 2,3,0,23.46666666666667,30.566666666666663
2026-05-02 22:00:00,S003,Facility 3,16,3,22.00625,50.51428571428572
2026-05-02 22:00:00,S004,Facility 4,3,0,19.266666666666666,33.833333333333336
2026-05-02 22:00:00,S005,Facility 5,2,0,14.850000000000001,29.55
2026-05-02 22:00:00,S006,Facility 6,6,2,20.433333333333334,46.78
2026-05-02 22:00:00,S007,Facility 7,2,0,19.8,23.1
2026-05-02 22:00:00,S008,Facility 8,6,2,17.816666666666666,49.21666666666667
2026-05-02 22:00:00,S009,Facility 9,12,3,19.3,43.96666666666667
