device_id,site_id,device_type,install_date,firmware_version,status,site_name,city,region
D0001,S001,gateway,2025-02-25,2.1.1,active,Facility 1,Seattle,North
D0002,S004,gateway,2025-01-29,2.1.1,inactive,Facility 4,Denver,West
D0003,S003,gateway,2024-10-19,1.2.0,active,Facility 3,Portland,West
D0004,S012,camera,2024-12-05,2.1.1,active,Facility 12,Miami,East
D0005,S010,camera,2025-11-28,1.0.0,active,Facility 10,Portland,West
D0006,S009,temperature_sensor,2025-01-25,2.0.0,active,Facility 9,Seattle,East
D0007,S007,gateway,2025-08-18,1.0.0,active,Facility 7,Denver,North
D0008,S009,gateway,2024-09-28,1.2.0,active,Facility 9,Seattle,East
D0009,S011,gateway,2025-05-29,2.1.1,active,Facility 11,Seattle,North
D0010,S006,temperature_sensor,2025-02-22,2.0.0,inactive,Facility 6,Boston,East
D0011,S001,camera,2025-07-08,1.0.0,active,Facility 1,Seattle,North
D0012,S012,gateway,2024-08-06,2.0.0,active,Facility 12,Miami,East
D0013,S003,gateway,2025-09-17,1.2.0,active,Facility 3,Portland,West
D0014,S009,camera,2024-11-16,2.0.0,active,Facility 9,Seattle,East
D0015,S003,camera,2025-05-20,2.0.0,inactive,Facility 3,Portland,West
D0016,S001,gateway,2024-10-29,1.2.0,active,Facility 1,Seattle,North
D0017,S012,gateway,2025-10-04,2.0.0,maintenance,Facility 12,Miami,East
D0018,S013,gateway,2024-06-14,1.2.0,maintenance,Facility 13,Miami,South
D0019,S012,temperature_sensor,2025-09-22,2.0.0,active,Facility 12,Miami,East
D0020,S001,camera,2026-03-26,1.0.0,active,Facility 1,Seattle,North
D0021,S014,temperature_sensor,2024-09-27,1.0.0,active,Facility 14,Seattle,East
D0022,S004,motion_sensor,2024-07-13,1.0.0,active,Facility 4,Denver,West
D0023,S010,temperature_sensor,2024-06-28,1.2.0,active,Facility 10,Portland,West
D0024,S001,gateway,2024-05-29,2.1.1,active,Facility 1,Seattle,North
D0025,S010,temperature_sensor,2025-11-22,2.1.1,active,Facility 10,Portland,West
