event_id,event_ts,device_id,site_id,temperature_c,battery_pct,signal_strength,alert_flag,alert_type,site_id_device,device_type,status,site_name,city,region,event_date,event_hour
E008142,2026-05-05 01:48:28,D0031,S002,11.5,56.4,-55.0,0,,S002,camera,active,Facility 2,Denver,North,2026-05-05,2026-05-05 01:00:00
E013683,2026-05-02 18:39:48,D0098,S011,24.3,70.5,-56.0,0,,S011,camera,active,Facility 11,Seattle,North,2026-05-02,2026-05-02 18:00:00
E013317,2026-05-03 18:55:38,D0012,S012,25.9,32.1,-63.0,0,,S012,gateway,active,Facility 12,Miami,East,2026-05-03,2026-05-03 18:00:00
E001785,2026-05-03 04:16:03,D0020,S001,13.7,49.5,-72.0,0,,S001,camera,active,Facility 1,Seattle,North,2026-05-03,2026-05-03 04:00:00
E009610,2026-05-06 15:19:24,D0091,S005,15.7,33.8,-71.0,1,offline,S005,temperature_sensor,active,Facility 5,Boston,North,2026-05-06,2026-05-06 15:00:00
E012352,2026-05-03 02:59:06,D0160,S011,28.8,38.7,-76.0,0,,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-03,2026-05-03 02:00:00
E002219,2026-05-06 20:15:45,D0122,S007,19.9,37.4,-69.0,0,,S007,gateway,active,Facility 7,Denver,North,2026-05-06,2026-05-06 20:00:00
E003906,2026-05-05 04:39:36,D0085,S006,24.2,25.8,-35.0,0,,S006,gateway,active,Facility 6,Boston,East,2026-05-05,2026-05-05 04:00:00
E005166,2026-05-03 08:21:03,D0128,S004,15.6,,-82.0,0,,S004,gateway,active,Facility 4,Denver,West,2026-05-03,2026-05-03 08:00:00
E011609,2026-05-07 22:56:26,D0108,S002,26.9,,-95.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-07,2026-05-07 22:00:00
E000086,2026-05-09 00:21:41,D0115,S008,13.5,71.1,-76.0,0,,S008,gateway,inactive,Facility 8,Denver,East,2026-05-09,2026-05-09 00:00:00
E011027,2026-05-05 03:39:34,D0160,S011,24.3,86.9,,0,,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-05,2026-05-05 03:00:00
E007990,2026-05-05 05:19:35,D0025,S010,21.1,82.8,-52.0,1,battery_low,S010,temperature_sensor,active,Facility 10,Portland,West,2026-05-05,2026-05-05 05:00:00
E004500,2026-05-04 06:59:24,D0120,S007,14.7,96.6,-83.0,0,,S007,motion_sensor,active,Facility 7,Denver,North,2026-05-04,2026-05-04 06:00:00
E004445,2026-05-05 06:23:31,D0164,S006,24.3,77.4,-89.0,0,,S006,gateway,active,Facility 6,Boston,East,2026-05-05,2026-05-05 06:00:00
E005841,2026-05-05 07:36:01,D0110,S003,22.3,10.6,-95.0,0,,S003,motion_sensor,active,Facility 3,Portland,West,2026-05-05,2026-05-05 07:00:00
E007991,2026-05-04 08:48:13,D0022,S004,27.3,,-91.0,0,,S004,motion_sensor,active,Facility 4,Denver,West,2026-05-04,2026-05-04 08:00:00
E002837,2026-05-05 10:36:15,D0122,S007,13.9,90.3,-37.0,0,,S007,gateway,active,Facility 7,Denver,North,2026-05-05,2026-05-05 10:00:00
E007167,2026-05-05 09:17:44,D0051,S005,17.8,98.5,-52.0,0,,S005,temperature_sensor,active,Facility 5,Boston,North,2026-05-05,2026-05-05 09:00:00
E014405,2026-05-06 10:52:08,D0171,S004,23.6,75.7,-60.0,0,,S004,gateway,inactive,Facility 4,Denver,West,2026-05-06,2026-05-06 10:00:00
E010232,2026-05-07 03:19:29,D0028,S013,15.5,86.4,-86.0,0,,S013,gateway,inactive,Facility 13,Miami,South,2026-05-07,2026-05-07 03:00:00
E010821,2026-05-08 05:29:09,D0121,S005,12.8,65.5,-88.0,1,motion_detected,S005,motion_sensor,maintenance,Facility 5,Boston,North,2026-05-08,2026-05-08 05:00:00
E014943,2026-05-06 20:21:48,D0077,S005,15.4,88.0,-46.0,0,,S005,gateway,active,Facility 5,Boston,North,2026-05-06,2026-05-06 20:00:00
E008319,2026-05-05 15:41:47,D0034,S011,31.1,59.4,-41.0,0,,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-05,2026-05-05 15:00:00
E012173,2026-05-06 05:43:07,D0136,S008,21.2,99.7,-36.0,0,,S008,temperature_sensor,active,Facility 8,Denver,East,2026-05-06,2026-05-06 05:00:00
E009684,2026-05-06 23:23:57,D0006,S009,28.5,77.3,-36.0,0,,S009,temperature_sensor,active,Facility 9,Seattle,East,2026-05-06,2026-05-06 23:00:00
E007987,2026-05-06 14:58:06,D0155,S009,20.3,22.9,-70.0,0,,S009,temperature_sensor,active,Facility 9,Seattle,East,2026-05-06,2026-05-06 14:00:00
E002271,2026-05-03 17:58:12,D0004,S012,15.7,45.8,-87.0,0,,S012,camera,active,Facility 12,Miami,East,2026-05-03,2026-05-03 17:00:00
E004143,2026-05-04 00:54:50,D0143,S001,19.5,54.9,-68.0,0,,S001,motion_sensor,inactive,Facility 1,Seattle,North,2026-05-04,2026-05-04 00:00:00
E009814,2026-05-04 18:35:13,D0173,S009,27.2,56.9,-79.0,0,,S009,camera,active,Facility 9,Seattle,East,2026-05-04,2026-05-04 18:00:00
E003872,2026-05-05 13:03:43,D0064,S004,17.4,,-43.0,0,,S004,motion_sensor,inactive,Facility 4,Denver,West,2026-05-05,2026-05-05 13:00:00
E009908,2026-05-08 06:04:18,D0020,S001,29.5,73.5,-78.0,1,motion_detected,S001,camera,active,Facility 1,Seattle,North,2026-05-08,2026-05-08 06:00:00
E000080,2026-05-05 14:14:43,D0034,S011,28.8,94.9,-95.0,0,,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-05,2026-05-05 14:00:00
E013725,2026-05-05 04:06:26,D0062,S008,30.5,61.0,-62.0,1,offline,S008,temperature_sensor,maintenance,Facility 8,Denver,East,2026-05-05,2026-05-05 04:00:00
E004440,2026-05-05 18:11:30,D0101,S008,24.5,25.3,-89.0,0,,S008,temperature_sensor,active,Facility 8,Denver,East,2026-05-05,2026-05-05 18:00:00
E005200,2026-05-04 02:23:58,D0125,S001,11.3,84.3,-50.0,0,,S001,camera,active,Facility 1,Seattle,North,2026-05-04,2026-05-04 02:00:00
E000797,2026-05-03 04:32:34,D0061,S006,21.2,43.4,-39.0,0,,S006,camera,active,Facility 6,Boston,East,2026-05-03,2026-05-03 04:00:00
E013631,2026-05-05 07:28:39,D0080,S012,15.9,4.2,-64.0,0,,S012,camera,active,Facility 12,Miami,East,2026-05-05,2026-05-05 07:00:00
E005547,2026-05-08 10:10:57,D0091,S005,25.4,74.1,-57.0,0,,S005,temperature_sensor,active,Facility 5,Boston,North,2026-05-08,2026-05-08 10:00:00
E003948,2026-05-06 19:06:33,D0122,S007,18.0,20.1,-63.0,0,,S007,gateway,active,Facility 7,Denver,North,2026-05-06,2026-05-06 19:00:00
E003475,2026-05-04 18:03:35,D0091,S005,22.1,44.8,-66.0,0,,S005,temperature_sensor,active,Facility 5,Boston,North,2026-05-04,2026-05-04 18:00:00
E006021,2026-05-08 00:30:05,D0108,S002,15.9,,-59.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-08,2026-05-08 00:00:00
E005820,2026-05-08 21:08:53,D0031,S002,16.4,39.6,-44.0,0,,S002,camera,active,Facility 2,Denver,North,2026-05-08,2026-05-08 21:00:00
E011737,2026-05-06 00:04:00,D0151,S002,24.3,86.6,-46.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-06,2026-05-06 00:00:00
E004974,2026-05-09 06:18:21,D0102,S009,16.9,,-90.0,0,,S009,camera,active,Facility 9,Seattle,East,2026-05-09,2026-05-09 06:00:00
E005827,2026-05-08 22:07:01,D0008,S009,16.2,49.4,-91.0,0,,S009,gateway,active,Facility 9,Seattle,East,2026-05-08,2026-05-08 22:00:00
E010094,2026-05-05 19:58:09,D0022,S004,23.1,1.7,-50.0,0,,S004,motion_sensor,active,Facility 4,Denver,West,2026-05-05,2026-05-05 19:00:00
E006454,2026-05-05 12:14:22,D0151,S002,29.3,15.1,-43.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-05,2026-05-05 12:00:00
E008822,2026-05-07 11:50:44,D0163,S002,19.7,34.5,-65.0,0,,S002,motion_sensor,active,Facility 2,Denver,North,2026-05-07,2026-05-07 11:00:00
E012831,2026-05-09 09:54:37,D0101,S008,20.8,10.4,-69.0,0,,S008,temperature_sensor,active,Facility 8,Denver,East,2026-05-09,2026-05-09 09:00:00
E012812,2026-05-04 16:42:04,D0033,S005,12.7,96.1,-37.0,0,,S005,gateway,active,Facility 5,Boston,North,2026-05-04,2026-05-04 16:00:00
E001234,2026-05-05 21:34:35,D0032,S003,15.8,47.4,-46.0,0,,S003,motion_sensor,active,Facility 3,Portland,West,2026-05-05,2026-05-05 21:00:00
E008624,2026-05-03 17:14:09,D0132,S003,15.4,73.9,-45.0,0,,S003,temperature_sensor,active,Facility 3,Portland,West,2026-05-03,2026-05-03 17:00:00
E002856,2026-05-08 17:52:25,D0119,S011,23.9,32.8,-44.0,1,offline,S011,temperature_sensor,inactive,Facility 11,Seattle,North,2026-05-08,2026-05-08 17:00:00
E011910,2026-05-05 06:10:31,D0090,S002,20.5,73.1,-40.0,0,,S002,temperature_sensor,active,Facility 2,Denver,North,2026-05-05,2026-05-05 06:00:00
E000730,2026-05-04 21:34:30,D0104,S005,20.8,81.3,-68.0,0,,S005,temperature_sensor,active,Facility 5,Boston,North,2026-05-04,2026-05-04 21:00:00
E003166,2026-05-06 12:19:21,D0005,S010,17.4,2.3,-55.0,0,,S010,camera,active,Facility 10,Portland,West,2026-05-06,2026-05-06 12:00:00
E004888,2026-05-09 08:07:44,D0096,S014,23.2,98.1,-94.0,0,,S014,temperature_sensor,active,Facility 14,Seattle,East,2026-05-09,2026-05-09 08:00:00
E004977,2026-05-06 00:01:26,D0143,S001,16.8,6.2,-69.0,0,,S001,motion_sensor,inactive,Facility 1,Seattle,North,2026-05-06,2026-05-06 00:00:00
E003194,2026-05-07 20:31:29,D0065,S009,19.7,35.4,-43.0,0,,S009,gateway,maintenance,Facility 9,Seattle,East,2026-05-07,2026-05-07 20:00:00
E012539,2026-05-07 12:31:49,D0092,S001,12.2,68.6,-72.0,1,motion_detected,S001,camera,inactive,Facility 1,Seattle,North,2026-05-07,2026-05-07 12:00:00
E009432,2026-05-05 13:56:36,D0079,S001,19.1,41.8,-90.0,0,,S001,motion_sensor,inactive,Facility 1,Seattle,North,2026-05-05,2026-05-05 13:00:00
E002232,2026-05-06 21:59:29,D0059,S010,23.4,89.7,-67.0,1,offline,S010,motion_sensor,active,Facility 10,Portland,West,2026-05-06,2026-05-06 21:00:00
E004056,2026-05-06 15:07:33,D0137,S014,11.2,67.8,,0,,S014,camera,active,Facility 14,Seattle,East,2026-05-06,2026-05-06 15:00:00
E001791,2026-05-07 19:44:27,D0119,S011,31.6,83.8,-84.0,0,,S011,temperature_sensor,inactive,Facility 11,Seattle,North,2026-05-07,2026-05-07 19:00:00
E013964,2026-05-07 12:10:42,D0032,S003,19.2,70.5,,0,,S003,motion_sensor,active,Facility 3,Portland,West,2026-05-07,2026-05-07 12:00:00
E001885,2026-05-03 19:03:16,D0092,S001,20.9,,-91.0,0,,S001,camera,inactive,Facility 1,Seattle,North,2026-05-03,2026-05-03 19:00:00
E008023,2026-05-09 07:40:36,D0087,S003,27.5,8.5,-63.0,0,,S003,temperature_sensor,active,Facility 3,Portland,West,2026-05-09,2026-05-09 07:00:00
E003322,2026-05-09 03:42:52,D0022,S004,17.5,2.2,-52.0,1,offline,S004,motion_sensor,active,Facility 4,Denver,West,2026-05-09,2026-05-09 03:00:00
E009199,2026-05-07 02:50:42,D0115,S008,13.7,90.6,-87.0,0,,S008,gateway,inactive,Facility 8,Denver,East,2026-05-07,2026-05-07 02:00:00
E012202,2026-05-08 07:33:28,D0179,S008,16.1,57.2,-60.0,0,,S008,gateway,active,Facility 8,Denver,East,2026-05-08,2026-05-08 07:00:00
E011020,2026-05-03 19:51:17,D0099,S013,27.2,86.0,-62.0,0,,S013,gateway,inactive,Facility 13,Miami,South,2026-05-03,2026-05-03 19:00:00
E010020,2026-05-07 09:26:38,D0132,S003,22.7,80.1,-50.0,0,,S003,temperature_sensor,active,Facility 3,Portland,West,2026-05-07,2026-05-07 09:00:00
E005331,2026-05-09 04:59:09,D0152,S014,18.2,40.6,-65.0,0,,S014,temperature_sensor,active,Facility 14,Seattle,East,2026-05-09,2026-05-09 04:00:00
E004870,2026-05-09 10:55:32,D0035,S001,18.7,,-59.0,0,,S001,temperature_sensor,active,Facility 1,Seattle,North,2026-05-09,2026-05-09 10:00:00
E006615,2026-05-03 12:02:35,D0030,S001,12.5,61.0,-81.0,0,,S001,camera,active,Facility 1,Seattle,North,2026-05-03,2026-05-03 12:00:00
E011833,2026-05-09 00:25:43,D0132,S003,17.4,66.8,-49.0,0,,S003,temperature_sensor,active,Facility 3,Portland,West,2026-05-09,2026-05-09 00:00:00
E001724,2026-05-04 08:20:37,D0074,S008,12.5,38.2,-75.0,0,,S008,camera,inactive,Facility 8,Denver,East,2026-05-04,2026-05-04 08:00:00
E001268,2026-05-05 13:34:31,D0019,S012,21.3,30.8,-40.0,0,,S012,temperature_sensor,active,Facility 12,Miami,East,2026-05-05,2026-05-05 13:00:00
E012899,2026-05-07 06:33:40,D0065,S009,20.9,71.5,-69.0,0,,S009,gateway,maintenance,Facility 9,Seattle,East,2026-05-07,2026-05-07 06:00:00
E008274,2026-05-05 06:23:27,D0142,S008,18.1,72.2,-46.0,0,,S008,motion_sensor,active,Facility 8,Denver,East,2026-05-05,2026-05-05 06:00:00
E014737,2026-05-09 06:48:14,D0174,S013,29.9,91.8,-35.0,0,,S013,temperature_sensor,inactive,Facility 13,Miami,South,2026-05-09,2026-05-09 06:00:00
E004705,2026-05-06 17:17:58,D0049,S001,21.5,86.1,-59.0,0,,S001,camera,active,Facility 1,Seattle,North,2026-05-06,2026-05-06 17:00:00
E002007,2026-05-03 15:55:56,D0012,S012,17.2,20.2,-90.0,0,,S012,gateway,active,Facility 12,Miami,East,2026-05-03,2026-05-03 15:00:00
E012731,2026-05-09 06:07:50,D0160,S011,28.5,32.2,-55.0,0,,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-09,2026-05-09 06:00:00
E001331,2026-05-02 15:09:08,D0034,S011,28.2,40.2,-68.0,0,,S011,temperature_sensor,active,Facility 11,Seattle,North,2026-05-02,2026-05-02 15:00:00
E002456,2026-05-05 14:28:57,D0091,S005,21.9,31.3,-69.0,0,,S005,temperature_sensor,active,Facility 5,Boston,North,2026-05-05,2026-05-05 14:00:00
E007173,2026-05-08 22:11:10,D0174,S013,30.9,94.4,-71.0,0,,S013,temperature_sensor,inactive,Facility 13,Miami,South,2026-05-08,2026-05-08 22:00:00
